created_at,participant_id,assignment_mode,text_condition,voice_condition,text_order,voice_order
2026-06-10T16:20:22.719155,P102,between_subject,A,B,,
2026-06-10T16:21:56.350032,P101,between_subject,A,A,,
2026-06-10T16:28:15.539994,P105,within_subject,,,CBA,AB
2026-06-10T16:41:07.559995,P108,between_subject,C,A,,
2026-06-10T16:41:15.494783,P155,between_subject,C,B,,
2026-06-10T16:41:22.834333,10,between_subject,A,A,,
2026-06-10T16:59:27.726245,P8,between_subject,B,A,,
2026-06-10T16:59:31.946646,9,between_subject,A,B,,
2026-06-10T16:59:36.921242,5,between_subject,C,B,,
2026-06-10T16:59:39.617636,4,between_subject,C,A,,
2026-06-10T16:59:43.237505,6,between_subject,B,B,,
2026-06-10T16:59:46.329673,3,between_subject,C,B,,
2026-06-10T16:59:48.498033,2,between_subject,B,A,,
2026-06-10T16:59:50.963168,1,between_subject,A,A,,
2026-06-10T17:19:41.899340,8,between_subject,B,A,,
2026-06-10T17:29:40.746993,7,between_subject,B,A,,
2026-06-10T19:33:28.458740,85,between_subject,B,B,,
2026-06-10T19:33:36.748476,83,within_subject,,,CBA,AB
2026-06-14T23:13:55.084210,66,between_subject,B,B,,
2026-06-15T01:06:49.406397,P_QUAL_TEST_001,between_subject,A,A,,
2026-06-15T01:32:46.881233,P_BACKEND_RANDOM_001,between_subject,A,B,,
2026-06-15T02:23:49.942907,P_ECHO_FIX_TEST_001,between_subject,B,A,,
