Timestamp,Participant_ID,Phase_ID,Mission_Title,Condition,Phase_Label,Title,Round_Count,Chat_Count,Started_At,Ended_At
2026-06-10T16:59:56.387620,1,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T08:59:50.978Z,2026-06-10T08:59:56.371Z
2026-06-10T17:00:18.696888,1,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-10T08:59:56.392Z,2026-06-10T09:00:18.693Z
2026-06-10T17:08:47.113933,1,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:08:26.251Z,2026-06-10T09:08:47.105Z
2026-06-10T17:12:23.798289,1,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:12:07.088Z,2026-06-10T09:12:23.787Z
2026-06-10T17:12:46.666509,1,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:12:23.804Z,2026-06-10T09:12:46.662Z
2026-06-10T17:12:57.092996,1,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,4,1,2026-06-10T09:12:46.680Z,2026-06-10T09:12:57.089Z
2026-06-10T17:13:08.590458,1,text_travel_a_run1_phase_3,文字任務 1,A,Phase 3,突發變更與重新規劃,6,1,2026-06-10T09:12:57.097Z,2026-06-10T09:13:08.586Z
2026-06-10T17:13:09.321351,1,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-10T09:13:08.596Z,2026-06-10T09:13:09.317Z
2026-06-10T17:13:15.941681,1,voice_restaurant_a_run1_phase_1,語音任務 1,A,Phase 1,情境記憶階段,0,1,2026-06-10T09:13:09.330Z,2026-06-10T09:13:15.634Z
2026-06-10T17:14:38.857161,3,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:14:36.900Z,2026-06-10T09:14:38.853Z
2026-06-10T17:14:48.788650,3,text_travel_c_run1_phase_1,文字任務 1,C,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:14:38.864Z,2026-06-10T09:14:48.784Z
2026-06-10T17:14:55.469299,3,text_travel_c_run1_phase_2,文字任務 1,C,Phase 2,大量資訊整理任務,7,1,2026-06-10T09:14:48.798Z,2026-06-10T09:14:55.465Z
2026-06-10T17:15:01.732944,3,text_travel_c_run1_phase_3,文字任務 1,C,Phase 3,突發變更與重新規劃,8,1,2026-06-10T09:14:55.482Z,2026-06-10T09:15:01.729Z
2026-06-10T17:15:02.424207,3,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-10T09:15:01.736Z,2026-06-10T09:15:02.420Z
2026-06-10T17:15:03.551837,3,voice_restaurant_b_run1_phase_1,語音任務 1,B,Phase 1,情境記憶階段,0,1,2026-06-10T09:15:02.431Z,2026-06-10T09:15:03.547Z
2026-06-10T17:19:12.526913,9,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:19:10.816Z,2026-06-10T09:19:12.523Z
2026-06-10T17:19:28.917157,9,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:19:12.533Z,2026-06-10T09:19:28.912Z
2026-06-10T17:26:48.276925,3,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:26:38.853Z,2026-06-10T09:26:48.264Z
2026-06-10T17:27:03.718747,3,text_travel_c_run1_phase_1,文字任務 1,C,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:26:48.282Z,2026-06-10T09:27:03.715Z
2026-06-10T17:27:10.519557,3,text_travel_c_run1_phase_2,文字任務 1,C,Phase 2,大量資訊整理任務,4,1,2026-06-10T09:27:03.723Z,2026-06-10T09:27:10.516Z
2026-06-10T17:27:21.054935,3,text_travel_c_run1_phase_3,文字任務 1,C,Phase 3,突發變更與重新規劃,6,1,2026-06-10T09:27:10.523Z,2026-06-10T09:27:21.051Z
2026-06-10T17:27:22.641071,3,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-10T09:27:21.058Z,2026-06-10T09:27:22.637Z
2026-06-10T17:27:25.041482,3,voice_restaurant_b_run1_phase_1,語音任務 1,B,Phase 1,情境記憶階段,0,1,2026-06-10T09:27:22.653Z,2026-06-10T09:27:25.037Z
2026-06-10T17:27:45.517075,3,voice_restaurant_b_run1_phase_2,語音任務 1,B,Phase 2,語音決策與討論,1,1,2026-06-10T09:27:25.053Z,2026-06-10T09:27:45.513Z
2026-06-10T17:28:05.788686,1,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:28:04.180Z,2026-06-10T09:28:05.784Z
2026-06-10T17:28:15.853378,1,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:28:05.792Z,2026-06-10T09:28:15.848Z
2026-06-10T17:28:21.726296,1,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,4,1,2026-06-10T09:28:15.857Z,2026-06-10T09:28:21.722Z
2026-06-10T17:28:59.841496,1,text_travel_a_run1_phase_3,文字任務 1,A,Phase 3,突發變更與重新規劃,6,1,2026-06-10T09:28:21.737Z,2026-06-10T09:28:59.521Z
2026-06-10T17:29:07.598973,1,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-10T09:28:59.848Z,2026-06-10T09:29:07.595Z
2026-06-10T17:29:10.591653,1,voice_restaurant_a_run1_phase_1,語音任務 1,A,Phase 1,情境記憶階段,0,1,2026-06-10T09:29:07.604Z,2026-06-10T09:29:10.588Z
2026-06-10T17:29:49.133022,9,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:29:47.143Z,2026-06-10T09:29:49.129Z
2026-06-10T17:30:11.002128,9,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,8,1,2026-06-10T09:29:49.138Z,2026-06-10T09:30:10.998Z
2026-06-10T17:30:23.925945,9,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,6,1,2026-06-10T09:30:11.006Z,2026-06-10T09:30:23.922Z
2026-06-10T17:37:26.561703,9,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:37:01.290Z,2026-06-10T09:37:26.549Z
2026-06-10T17:37:53.892558,9,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:37:26.567Z,2026-06-10T09:37:53.888Z
2026-06-10T17:38:06.587997,9,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,4,1,2026-06-10T09:37:53.896Z,2026-06-10T09:38:06.584Z
2026-06-10T17:38:24.141951,9,text_travel_a_run1_phase_3,文字任務 1,A,Phase 3,突發變更與重新規劃,6,1,2026-06-10T09:38:06.591Z,2026-06-10T09:38:24.138Z
2026-06-10T17:38:25.394584,9,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-10T09:38:24.146Z,2026-06-10T09:38:25.389Z
2026-06-10T17:38:27.299049,9,voice_restaurant_b_run1_phase_1,語音任務 1,B,Phase 1,情境記憶階段,0,1,2026-06-10T09:38:25.397Z,2026-06-10T09:38:27.295Z
2026-06-10T17:39:44.240847,1,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:39:37.109Z,2026-06-10T09:39:44.232Z
2026-06-10T17:40:13.447784,1,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:39:44.246Z,2026-06-10T09:40:13.443Z
